[2024-10-16 12:49:56,427: INFO: main]: hello world]
[2024-10-18 13:34:31,803: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 13:34:31,807: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 13:34:31,810: INFO: common]: created directory at: artifacts]
[2024-10-18 13:34:31,813: INFO: common]: created directory at: artifacts/data_ingestion]
[2024-10-18 13:34:36,011: INFO: 1772255440]: File is downloaded]
[2024-10-18 13:34:36,012: INFO: 1772255440]: File already unzipped!]
[2024-10-18 13:36:42,880: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 13:36:42,885: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 13:36:42,889: INFO: common]: created directory at: artifacts]
[2024-10-18 13:36:42,893: INFO: common]: created directory at: artifacts/data_ingestion]
[2024-10-18 13:36:50,989: INFO: 3125316546]: File is downloaded]
[2024-10-18 13:54:48,234: INFO: main]: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-10-18 13:54:48,246: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 13:54:48,255: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 13:54:48,256: INFO: common]: created directory at: artifacts]
[2024-10-18 13:54:48,256: INFO: common]: created directory at: artifacts/data_ingestion]
[2024-10-18 13:54:54,523: INFO: data_ingestion]: File is downloaded]
[2024-10-18 13:54:54,750: INFO: main]: >>>>>> stage Data Ingestion Stage completed <<<<<<]
[2024-10-18 14:11:42,438: INFO: config]: PyTorch version 2.4.1 available.]
[2024-10-18 14:19:51,204: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 14:19:51,211: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 14:19:51,215: INFO: common]: created directory at: artifacts]
[2024-10-18 14:19:51,218: INFO: common]: created directory at: artifacts/data_transformation]
[2024-10-18 14:26:49,826: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 14:26:49,830: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 14:26:49,833: INFO: common]: created directory at: artifacts]
[2024-10-18 14:26:49,836: INFO: common]: created directory at: artifacts/data_transformation]
[2024-10-18 14:39:49,597: INFO: config]: PyTorch version 2.4.1 available.]
[2024-10-18 14:39:50,905: INFO: main]: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-10-18 14:39:50,909: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 14:39:50,910: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 14:39:50,911: INFO: common]: created directory at: artifacts]
[2024-10-18 14:39:50,911: INFO: common]: created directory at: artifacts/data_ingestion]
[2024-10-18 14:39:50,912: INFO: data_ingestion]: File already exists of size]
[2024-10-18 14:39:51,067: INFO: main]: >>>>>> stage Data Ingestion Stage completed <<<<<<]
[2024-10-18 14:39:51,067: INFO: main]: >>>>>> stage Data Transformation Stage started <<<<<<]
[2024-10-18 14:39:51,070: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2024-10-18 14:39:51,072: INFO: common]: yaml file: params.yaml loaded successfully]
[2024-10-18 14:39:51,072: INFO: common]: created directory at: artifacts]
[2024-10-18 14:39:51,074: INFO: common]: created directory at: artifacts/data_transformation]
[2024-10-18 14:39:59,998: INFO: main]: >>>>>> stage Data Transformation Stage completed <<<<<<]
